,Ti_responses
403,No
404,"Answer the following question given the text:
Text:  Dean John de Costa gave a sermon damning what he described as a "" deafening silence "" from overseas . "" Nobody who holds sacred the dignity of human life can be anything but sickened at the events attending the Viscount , "" he said . "" But are we   with the voice of protest from nations who call themselves civilised ? We are not ! Like men in the story of the Good Samaritan , they pass by on the other side ... The   of this ill @-@ fated flight from Kariba will be burnt upon our memories for years to come . For others , far from our borders , it is an intellectual matter , not one which affects them deeply . Here is the tragedy ! "" 

Question: Is the man wearing glasses?

Respond only with the final answer, without explanation or full sentences.

No"
405,"Answer the following question given the text:
Text:  Die Another Day became a controversial subject in eastern Asia . The North Korean government disliked the portrayal of their state as brutal and war @-@ hungry . The South Koreans boycotted 145 theatres where it was released on 31 December 2002 , as they were offended by the scene in which an American officer issues orders to the South Korean army in the defence of their homeland , and by a lovemaking scene near a statue of the Buddha . The   Buddhist Order issued a statement that the film was "" disrespectful to our religion and does not reflect our values and ethics "" . The Washington Post reported growing resentment in the nation towards the United States . An official of the South Korean Ministry of Culture and Tourism said that Die Another Day was "" the wrong film at the wrong time . "" 

Question: What color is the building behind the train?

Respond only with the final answer, without explanation or full sentences.

No building behind the train."
406,No animal is present in the text.
407,You can't tell it's a sunny day from the text.
408,Stela 26
409,"Answer the following question given the text:
Text:  The soundtrack was composed by award @-@ winning composer Christopher Lennertz , with music contributed by Mike McCready of Pearl Jam , Stefan Lessard of Dave Matthews Band and Money Mark — a collaborator with the Beastie Boys . McCready , Lessard , and Mark worked with musicians Matt Chamberlain , David   , Aaron Kaplan , Victor   , Chris Chaney , Davey   and DJ   to develop the music . Major contributions were provided by Mark on keyboard , McCready and   on guitar , Chaney and Lessard on bass ,   on drums and DJ   on turntables . 

Question: Are there dark clouds in the sky?

Respond only with the final answer, without explanation or full sentences.

No"
410,No
411,"Answer the following question given the text:
Text:  Vegetation in the Trout Creek Mountains is dominated by big sagebrush and desert grasses . Other common shrubs include bitterbrush , snowberry , and Ceanothus . There are also patches of mountain mahogany in some areas . Common grass species include Idaho fescue , bluebunch wheatgrass , cheatgrass , western needlegrass , Sandberg 's bluegrass , Thurber 's needlegrass , and bottlebrush   , as well as basin   in some well @-@ drained areas . 

Question: What color is the frisbee?

Respond only with the final answer, without explanation or full sentences.

No frisbee"
412,No
413,12
414,No
415,No
416,"Answer the following question given the text:
Text:  During the official visit by the President     to Myanmar in November 2013 , Aung San Suu Kyi , the chairperson of National League for Democracy , said this was the first ever Mongol mission since the Mongols came 730 years earlier . 

Question: How many pillows are there?

Respond only with the final answer, without explanation or full sentences.

0"
417,No
418,No drink
419,No
420,"Answer the following question given the text:
Text:  As a senior , McCarty recorded 2 @,@ 400 yards and scored 33 touchdowns in just nine games , averaging 266 @.@ 7 yards and over three touchdowns per game . He ran for 380 yards and three touchdowns in a 21 – 20 loss against the W. J.   Hawks in the quarter @-@ finals of the AAA playoffs . He was named the 2002 Provincial Player of the Year for his performance and finished his four @-@ year AAA career at St. Thomas More with 84 touchdowns , breaking a school record . 

Question: What color is the stitching on the ball?

Respond only with the final answer, without explanation or full sentences. 

White"
421,Sonic the Hedgehog
422,"Answer the following question given the text:
Text:  Along this same vein ,   vinyl ketones of the type studied extensively by Marcus   of the University of Hawaii show dramatic rate acceleration due to the removal of β @-@ hydrogens , obviating a large amount of steric strain in the s @-@ cis conformer . 

Question: What is on the back of the motorcycle?

Respond only with the final answer, without explanation or full sentences.

No motorcycle"
423,0
424,0
425,0
426,No bike in the text.
427,"Answer the following question given the text:
Text:  In Menominee County , the environment takes on a more agricultural character along US 2 . The highway passes through the edge of the community of Hermansville before entering Powers . US 2 comes to a three @-@ way intersection and turns northeast merging onto US 41 . The concurrent highway runs from Powers through the communities of Wilson and Spaulding on the south side of the CN Railway . At Harris , the trunkline enters the   Indian Community . Harris is on the Menominee County side of the reservation , but as the highway continues east , it crosses over to Bark River on the Delta County side . The county line in between not only separates the two communities , but also serves as the boundary between the Central and Eastern time zones . East of Bark River , the highway crosses the community 's namesake waterway before intersecting the eastern terminus of M ‑ 69 . The roadway crosses the Ford River prior to turning due east into the outskirts of Escanaba . 

Question: Are there waves?

Respond only with the final answer, without explanation or full sentences.

No"
428,"Answer the following question given the text:
Text:  The MSHD started construction in 1936 on a new road that rerouted US 2 into St. Ignace for the first time . Between   and Moran , US 2 previously followed Worth Road inland to the Tahquamenon Trail to meet the northern extension of US 31 into the Upper Peninsula . The new routing took US 2 along the lakeshore into St. Ignace . US 31 was truncated to the state ferry docks in Mackinaw City and US 2 was routed through St. Ignace along the former US 31 to Rogers Park ; the connection in St. Ignace to the state ferry docks became M ‑ 122 . Further changes in the early 1940s straightened the roadway out near Watersmeet and Crystal Falls . 

Question: How many humans are there?

Respond only with the final answer, without explanation or full sentences.

0"
429,0
430,No
431,"Answer the following question given the text:
Text:  In some images , Hu employed a blind embossing technique ( known as "" embossed designs "" (   ,   ) or "" embossed blocks "" (   ,   ) , using an   , imprinted block to stamp designs onto paper . He used this to create white relief effects for clouds and for highlights on water or plants . This was a relatively new process , having been invented by Hu 's contemporary Wu   , who was also a Nanjing @-@ based publisher . Wu had used this technique for the first time in his book Wisteria Studio Letter Paper (       ,   ) , published in 1626 . Both Hu and Wu used embossing to create decorative writing papers , the sale of which provided a sideline income for the Ten Bamboo Studio . 

Question: What is the black stuff under the word stop?

Respond only with the final answer, without explanation or full sentences.

Hu's contemporary Wu"
432,No
433,"Answer the following question given the text:
Text:  Filming of Horrible Bosses took place in and around Los Angeles . The production team attempted to find locations "" that people haven 't already seen a hundred times in movies and on TV "" , aiming for the film to appear as if it could be taking place anywhere in America "" where people are trying to pursue the American dream but getting stopped by a horrible boss . "" ""   "" was represented by an office building in Torrance , California , with the crew building the set on a vacant floor . For ""   Chemical "" , the production team found a "" perfect landscape of pipes and containers "" in Santa Fe Springs , surrounding an unoccupied water cleaning and storage facility . To take advantage of the surrounding imagery , the warehouse required an extensive series of overhauls , including cutting windows into concrete walls and creating new doorways to allow for visuals of the warehouse exterior and provide a setting for the final scene of Sutherland 's character . A T.G.I. Friday 's in Woodland Hills , Los Angeles , was used as a bar frequented by Nick , Dale , and Kurt , while the bar scene where they meet with Jones was staged in downtown Los Angeles . 

Question: What is this object?

Respond only with the final answer, without explanation or full sentences.

Office building"
434,"Answer the following question given the text:
Text:  Live performances of "" Where the Streets Have No Name "" appear in the concert video releases Rattle and Hum , Zoo TV : Live from Sydney , and PopMart : Live from Mexico City , as well as the respective audio releases of the latter two concerts , Zoo TV Live and Hasta la Vista Baby ! U2 Live from Mexico City . A second version from the PopMart Tour was featured on Please :   Live EP , and later on the U.S. "" Please "" single . A live recording from Boston during the Elevation Tour was featured in the concert film Elevation 2001 : Live from Boston , and on the "" Walk On "" and "" Electrical Storm "" singles . The concert video and album U2 Go Home : Live from Slane Castle , Ireland featured another performance from the Elevation Tour , and later performances were featured in the concert films Vertigo 2005 : Live from Chicago and U2 3D ( Vertigo Tour ) , and U2 360 ° at the Rose Bowl ( U2 360 ° Tour ) . The 2004 digital album , Live from the Point Depot , contains a performance from the Lovetown Tour , only available as part of The Complete U2 digital box set . 

Question: What is the train traveling on?

Respond only with the final answer, without explanation or full sentences.

No train in the text."
435,"Answer the following question given the text:
Text:  Fantasies of the Master Race : Literature , Cinema , and the Colonization of American Indians . Common Courage Press . 1992 . ISBN 978 @-@ 0 @-@   @-@ 348 @-@ 4 . 

Question: Does the guy wear glasses?

Respond only with the final answer, without explanation or full sentences.

No"
436,The Gallipoli Campaign
437,Practice
438,"Answer the following question given the text:
Text:  John   Wickliffe Beckham ( August 5 , 1869 – January 9 , 1940 ) was the 35th Governor of Kentucky and a United States Senator from Kentucky . He was the state 's first popularly elected senator following passage of the Seventeenth Amendment . 

Question: What color is the table?

Respond only with the final answer, without explanation or full sentences.

No table"
439,"Answer the following question given the text:
Text:    's   substrates can exhibit axial to tetrahedral chirality transfer if     are used . The example below generates a chiral   in 64 % yield and 95 % enantiomeric excess . 

Question: Is the train moving?

Respond only with the final answer, without explanation or full sentences.

No"
440,Stomach
441,"Answer the following question given the text:
Text:  Randy Blythe was represented by Prague lawyers Martin   and Vladimír   .   studied law at the Faculty of Law of Charles University and at the New York University . From 1990 to 1992 , he served as external advisor of the then Prime Minister Marián   . A former partner at Baker & McKenzie ,   established   & Co. in 1996 . He is also a member of board of directors of Forum 2000 . 

Question: What color is the rail around the pool?

Respond only with the final answer, without explanation or full sentences.

No rail around the pool."
442,"Answer the following question given the text:
Text:    the strength of Allied forces on Guadalcanal , Ichiki 's First Element conducted a nighttime frontal assault on Marine positions at Alligator Creek on the east side of the Lunga perimeter in the early morning hours of August 21 . Ichiki 's assault was repulsed with devastating losses for the attackers in what became known as the Battle of the Tenaru : all but 128 of the 917 men of the First Element ( including Ichiki himself ) were killed in the battle . The survivors returned to Taivu Point , notified 17th Army headquarters of their defeat in the battle and awaited further reinforcements and orders from Rabaul . 

Question: What is the horse looking at?

Respond only with the final answer, without explanation or full sentences.

No horse"
443,No necklaces
444,No cat in luggage
445,Plastic
446,No
447,"Answer the following question given the text:
Text:  A four @-@ storey tower mill with Common sails carried on a wooden   , driving two pairs of   millstones . Brake wheel 6 feet ( 1 @.@ 83 m ) diameter . Winding was by hand . 

Question: What animal is shown?

Respond only with the final answer, without explanation or full sentences.

No animal shown."
448,No zebra
449,"Answer the following question given the text:
Text:  The British fleet weighed anchor at Cape Fear on May 31 , and arrived outside Charleston Harbor the next day . Moultrie noticed a British scout boat apparently looking for possible landing points on nearby Long Island ( now known as the Isle of Palms ) , just a few hundred yards from Sullivan 's Island ; troops were consequently sent to occupy the northern end of Sullivan 's . By June 8 , most of the British fleet had crossed the bar and anchored in Five Fathom Hole , an anchorage between the bar and the harbor entrance . With the fort on Sullivan 's Island only half complete , Admiral Parker expressed confidence that his warships would easily breach its walls .   believing he would not even need Clinton 's land forces , he wrote to Clinton that after the fort 's guns were knocked out , he would "" land seamen and marines ( which I have practiced for the purpose ) under the guns "" and that they could "" keep possession till you send as many troops as you think proper "" . 

Question: Is the person in danger?

Respond only with the final answer, without explanation or full sentences.

No"
450,No shirts
451,No
452,No
453,No rope is being held in the image.
454,12:00
455,"Answer the following question given the text:
Text:  Draconian Measures : The History of FBI Political Repression . Common Courage Press . 2000 . ISBN 978 @-@ 1 @-@   @-@ 059 @-@ 1 . 

Question: Is the child happy?

Respond only with the final answer, without explanation or full sentences.

No"
456,Concrete
457,No cat
458,White
459,"Answer the following question given the text:
Text:  The Cherokee of Indian Territory ( now Oklahoma ) were upset to have Fort Wayne in their proximity . After some delay , the US Army decided to abandon Fort Wayne and move its soldiers to a new fort to be built between Fort Leavenworth and the site . The Army both wanted to placate the Cherokee ( who were supervised by the Department of Defense ) and provide more defense for white settlers and other Indians against the Osage , who had been conducting frequent raids in the area . On April 1 , 1842 , some soldiers of Fort Wayne left their fort and on April 22 arrived where Fort Scott would be built , in the Osage   section of modern @-@ day Kansas . After haggling with the Cherokees to acquire the land , the rest of Fort Wayne 's garrison left the fort on May 26 and arrived at the Fort Scott site on May 30 . 

Question: How many monitors are currently active?

Respond only with the final answer, without explanation or full sentences.

0"
460,0
461,"Answer the following question given the text:
Text:  Churchill , Ward ( Winter – Spring 2003 ) . "" An American Holocaust ? The Structure of Denial "" . Socialism and Democracy 17 ( 2 ) : 25 – 76 @.@ doi : 10 @.@ 1080 /   . 

Question: What color is the bedspread?

Respond only with the final answer, without explanation or full sentences.

No bedspread"
462,No
463,No
464,White
465,No barrels in the image.
466,"Starr has performed "" Back Off Boogaloo "" in concert with his All @-@ Starr Band , beginning with the band 's debut tour of North America in July – September 1989 . The song was dropped from the concert setlist early in that tour , however , in"
467,No board
468,No table
469,"Answer the following question given the text:
Text:  Two sections of US 2 are part of the overall Great Lakes Circle Tour (   ) : the segment from the Wisconsin state line near Ironwood to the M ‑ 28 junction in Wakefield is part of the Lake Superior Circle Tour (   ) , and the segment from the southern M ‑ 35 junction in Escanaba to the eastern terminus in St. Ignace is part of the Lake Michigan Circle Tour ( LMCT ) . These two tours were created in May 1986 through a joint effort between MDOT and its counterparts in Wisconsin , Minnesota and Ontario . The section of US 2 between Iron River and Crystal Falls has been named the Iron County Heritage Trail . This Pure Michigan Byway was designated to honor the "" rich history of two industries that built a state and nation : mining and logging . "" On August 26 , 2007 , MDOT announced that the section of US 2 that runs concurrently with M ‑ 35 in Delta County was being included in the UP Hidden Coast Recreational Heritage Trail . 

Question: Is the sky blue?

Respond only with the final answer, without explanation or full sentences.

No"
470,"Answer the following question given the text:
Text:  A "" sect filter "" , also known as a "" protective declaration "" (   ) , is a document that requires prospective business partners or employees to acknowledge any association with a sect or new religious movement before entering a business or employment contract . Such sect filters , primarily used to screen out Scientologists , have been drafted by German government agencies for use by businesses . "" Sect commissioner 's "" offices exist in Germany as part of regional or local government . 

Question: What is on the animal's head?

Respond only with the final answer, without explanation or full sentences.

No animal is present in the text."
471,"Answer the following question given the text:
Text:  On 10 September , the Prime Minister announced to the nation that certain areas of the country would be placed under a variation of martial law , which he said would be applied in particular regions as and when needed . He declared Rhodesia 's intent to "" liquidate the internal workings of those organisations associated with terrorism "" , and warned neighbouring countries to prepare for "" any defensive strikes we might undertake "" against guerrilla bases in their respective territories . He claimed that the war had escalated because Britain and the United States were supporting the Patriotic Front . William Irvine , the co @-@ Minister of Transport , warned the guerrillas that Rhodesia "" w [   ] not let these innocents go   "" . 

Question: What kind of jacket is the man wearing?

Respond only with the final answer, without explanation or full sentences.

No jacket"
472,0
473,"Answer the following question given the text:
Text:  Arriving in New York , Gauthier struggled to find a niche in an already crowded music scene . She put on a performance in Vaudeville entitled   , which combined Javan music with dancers . New York was already home to many North American and European musical performers , so Gauthier focused on her Javan musical repertoire , which she combined with knowledge and skill in modernist western singing . Gauthier began giving annual recitals at Aeolian Hall , and in November 1917 her performance there caught the eye of many leading composers . She developed her own reputation quickly , known as a "" ... sensitive purveyor of interesting , untried songs "" . She gave renditions of three songs by Maurice Ravel . Her performance then also included American premieres of Stravinsky 's Three Japanese Lyrics and Griffes ' Five Poems of Ancient China and Japan . The performance was a great success , and she began to receive invitations to perform premieres of songs by contemporary composers . Stravinsky arranged to have Gauthier to premiere all of his vocal pieces . 

Question: Is this a water sport?

Respond only with the final answer, without explanation or full sentences.

No"
474,"Answer the following question given the text:
Text:  In 1861 , the Victorian ship   Victoria was dispatched to help the New Zealand colonial government in its war against Māori in Taranaki . Victoria was subsequently used for patrol duties and logistic support , although a number of personnel were involved in actions against Māori fortifications . One sailor died from an accidental gunshot wound during the deployment . 

Question: What color is the train?

Respond only with the final answer, without explanation or full sentences.

No train in the image."
475,0
476,No wall in the text.
477,No
478,No
479,"Answer the following question given the text:
Text:  Lead Belly first recorded "" The Bourgeois Blues "" in December 1938 in New York City , for donation to the Library of Congress . He re @-@ recorded the song in April 1939 for   Records , for release the same year as a 78 rpm record . The version that was commercially released features Lead Belly singing and playing the twelve @-@ string guitar without any other accompaniment . 

Question: What letter is displayed on this poster?

Respond only with the final answer, without explanation or full sentences.

@"
480,"Answer the following question given the text:
Text:  Historians Paul   and Peter McLaughlin write that this exaggerated considerably the actual number of guerrillas killed , as most of Nkomo 's army , then numbering about 10 @,@ 000 fighters , had not been touched . On the other hand , unarmed refugees often camped in or around insurgent positions , and hundreds of these had been killed in the Rhodesian raid .   and McLaughlin comment that for the Rhodesian airmen , it would have been "" impossible to distinguish innocent refugees from young ZIPRA recruits . "" Sibanda describes Freedom Camp as "" a refugee camp for boys "" , and says "" 351 boys and girls "" were killed . He claims that the Red Cross and the UN Refugee Agency "" confirmed ZAPU 's claim that Smith 's forces struck at defenseless , civilian trainees "" . 

Question: Is the grout clean?

Respond only with the final answer, without explanation or full sentences.

No"
481,Black
482,0
483,No
484,"Answer the following question given the text:
Text:  Two rival communist @-@ backed black nationalist groups initiated military campaigns to overthrow the government and introduce majority rule : the Chinese @-@ aligned Zimbabwe African National Union ( ZANU ) , mostly comprising   , created the Zimbabwe African National Liberation Army ( ZANLA ) and adopted aspects of Maoist doctrine , while the Ndebele @-@ dominated Zimbabwe African People 's Union ( ZAPU ) , aligned with Soviet @-@ style Marxism – Leninism and the Warsaw Pact , mobilised the Zimbabwe People 's Revolutionary Army ( ZIPRA ) . These guerrilla armies proceeded to wage what they called the "" Second Chimurenga "" against the Rhodesian government and security forces . The resulting conflict , the Rhodesian Bush War , began in earnest in December 1972 , when ZANLA attacked Altena and Whistlefield Farms in north @-@ eastern Rhodesia . 

Question: What animals are these?

Respond only with the final answer, without explanation or full sentences.

Lions"
485,"Answer the following question given the text:
Text:  Drawing on the substituent effects compiled over various trials of the reaction , Professor Alison Frontier of the University of Rochester developed a paradigm for "" polarized ""     in which electron donating and electron withdrawing groups are used to improve the overall selectivity of the reaction . Creation of an effective vinyl nucleophile and vinyl   in the substrate allows catalytic activation with copper triflate and   elimination . In addition , the electron withdrawing group increases the acidity of the α @-@ proton , allowing selective formation of the trans @-@ α @-@   via equilibration . 

Question: Which ear would you whisper into if you wanted to tell the man a secret right now?

Respond only with the final answer, without explanation or full sentences.

Left"
486,No
487,No
488,"Answer the following question given the text:
Text:  Restoration work in 1984 cost £ 2 @,@ 918 . Grants received were £ 1 @,@ 209 from English Heritage , £ 500 from St   Borough Council , Other donations amounted to £ 52 . Income from open days at the mill came to £ 151 . A boost to the funds was £ 2 @,@ 000 from Hervey Benham . This money had been allocated to allow the moving of a derelict post mill buck to   . In the end , the removal was not proceeded with , and Mr Benham allowed the donation to remain with the   Mill Preservation Trust . The project received further support in local media , including the East Anglian Daily Times , one of the work @-@ ins being featured on Anglia Television 's About Anglia programme . 

Question: What type of emotion is the child conveying?

Respond only with the final answer, without explanation or full sentences.

Happiness"
489,No utensil in the bowl
490,"Answer the following question given the text:
Text:  By extension , any   cation regardless of its origin is capable of undergoing a     . There have been a large number of examples published where the requisite cation is arrived at by a variety of rearrangements . One such example involves the silver catalyzed cationic ring opening of       . The silver salt facilitates loss of chloride via precipitation of insoluble silver chloride . 

Question: How many kids are in the pic?

Respond only with the final answer, without explanation or full sentences.

0"
491,"Answer the following question given the text:
Text:  Among the studio 's more obscure publications was a text on Chinese dominoes entitled   Fuyu (   ) , written under a pseudonym but with a preface by Hu   . 

Question: Is this an outdoor court?

Respond only with the final answer, without explanation or full sentences.

No"
492,"Answer the following question given the text:
Text:  Other work undertaken by the apprentices involved repairing some frost damage to the foundation brickwork , digging a drainage trench around the mill and moving the auxiliary engine into position . A concrete path around the tower was trapping moisture , leading to rising damp . A French drain was constructed around the mill to remedy these problem . A 21 horsepower ( 16 kW ) Ruston & Hornsby   diesel engine had been purchased in 1981 and was fitted onto a permanent concrete base with the aid of a mobile crane . After fitting it was then painted . Some missing or broken parts were made or repaired as necessary . 

Question: Who is not dressed the same?

Respond only with the final answer, without explanation or full sentences.

Apprentices"
493,No man is catching anything in the text.
494,"Answer the following question given the text:
Text:  The specific epithet   means "" bent in "" . The mushroom is commonly known as the "" clustered bonnet "" or the "" oak @-@ stump bonnet cap "" . 

Question: Are there two garages next to each other?

Respond only with the final answer, without explanation or full sentences.

No"
495,The trains are facing the sun.
496,"Answer the following question given the text:
Text:  Major construction at Tikal was already taking place in the Late Preclassic period , first appearing around 400 – 300 BC , including the building of major pyramids and platforms , although the city was still dwarfed by sites further north such as El Mirador and Nakbe . At this time , Tikal participated in the widespread   culture that dominated the Central and Northern Maya areas at this time – a region that included the entire Yucatan Peninsula including northern and eastern Guatemala and all of Belize . 

Question: How many donuts have M&M's on them?

Respond only with the final answer, without explanation or full sentences.

0"
497,No
498,No umbrellas in the text.
499,No bike in the image.
500,No
501,"Answer the following question given the text:
Text:  Additional realignments were completed by the MSHD to move US 2 to its modern lakeshore routing between Gould City and Epoufette in 1941 . The new highway traveled due east from Gould City to   and then along the lake to Epoufette . The former route through Engadine was turned back to local control as far east as Garnet . From there east , it was numbered just M ‑ 48 , removing US 2 from a concurrency . Another former section into Epoufette was added to extend M ‑ 117 . The new highway was detoured around the Cut River Bridge until it was completed in 1946 after construction delays over steel shortages during World War II . 

Question: What has bottle in it?

Respond only with the final answer, without explanation or full sentences.

No bottle in it."
502,"Answer the following question given the text:
Text:  The disintegration of the Pagan Empire was now complete . But the Mongols refused to fill in the power vacuum they had created . They would send no more expeditions to restore order . The emperor apparently had no interest in committing troops that would be required to pacify the fragmented country . Indeed , his real aim all along may have been "" to keep the entire region of Southeast Asia broken and fragmented . "" It would be another two years until one of   's sons ,   , emerged as king of Pagan in May 1289 . But the new "" king "" controlled just a small area around the capital , and had no real army . The real power in central Burma now rested with the three commander brothers . 

Question: What color is the truck?

Respond only with the final answer, without explanation or full sentences.

No truck"
503,"Answer the following question given the text:
Text:  The High Five Interchange project was planned as a replacement for the existing , antiquated interchange that accommodated 500 @,@ 000 vehicles daily and was located in one of the most intensely developed commercial zones in Dallas . It was a collaborative project between the TxDOT , affected motorists and property owners , and the primary contractor ,   Construction . An essential consideration was to complete the project with as little disruption to the traffic flow as possible . 

Question: How many doors are on the oven?

Respond only with the final answer, without explanation or full sentences.

0"
504,No
505,"Answer the following question given the text:
Text:  The main crossing was planned for 20 May , with the 58th / 59th Infantry Battalion on the right tasked to cut the Buin Road and the   Track to the east of the river , while on the left the 57th / 60th Infantry Battalion would divert the attention of the Japanese off the 24th Infantry Battalion which would make the main frontal assault from the centre of the Australian line , crossing at the   ford , advancing straight up the Buin Road . Preliminary moves began before this , and on 15 May a platoon from the 24th Infantry Battalion along with two tanks attempted to carry out an attack on Egan 's Ridge . After one of the tanks was held up and knocked out by a Japanese field gun , they were forced to withdraw . Meanwhile , the RNZAF Corsair squadrons — now reinforced by No. 16 Squadron — began an eight @-@ day aerial campaign , attacking along the length of the Buin and Commando Roads . During this period , the New Zealanders flew 381 sorties , while artillery and mortars fired "" thousands of rounds "" . 

Question: Is there graffiti?

Respond only with the final answer, without explanation or full sentences.

No"
506,No tree
507,Nowhere
508,Slacks
509,No
510,"Answer the following question given the text:
Text:  Asahi , like all the other Japanese battleships of the time , was fitted with four Barr and Stroud   coincidence rangefinders that had an effective range of 8 @,@ 000 yards ( 7 @,@ 300 m ) . The ships were also fitted with 24 @-@ power magnification telescopic gunsights . 

Question: What is the gender of the players?

Respond only with the final answer, without explanation or full sentences.

Male"
511,"Answer the following question given the text:
Text:  In the total synthesis of   , epoxidation of a vinyl     likewise generates a   cation via ring opening of the resultant epoxide . 

Question: What type of bird is this?

Respond only with the final answer, without explanation or full sentences.

No bird"
512,Pizza
513,"Answer the following question given the text:
Text:    Price - background vocals 

Question: Is the bathroom checkered pattern?

Respond only with the final answer, without explanation or full sentences.

No"
514,2 @.@ 840
515,0
516,No
517,"Answer the following question given the text:
Text:  Meridian is home to two post @-@ secondary educational institutions . Meridian Community College , founded in 1937 , is located at 910 Highway 19 N and offers free tuition for four semesters to graduates from the Meridian Public and Lauderdale County School Districts as well as homeschooled children who reside inside Lauderdale County . Originally known as Meridian Junior College and located at Meridian High School , the college moved to its present location in 1965 . After desegregation laws were passed ,   merged with T.J. Harris Junior College in 1970 , which had previously enrolled African @-@ American students . The name change from Meridian Junior College to Meridian Community College took place In 1987 "" to more accurately reflect the diversity of opportunities it provides for a growing community area . "" Mississippi State University also operates a campus in the city . As of the Fall 2008 semester , 763 students from 33 counties throughout the state and several in Alabama attended the college . 

Question: How many clocks are showing?

Respond only with the final answer, without explanation or full sentences.

0"
518,"Answer the following question given the text:
Text:  From 13 March 1942 , Asahi was stationed at Singapore , and in April her crew performed repairs on the light cruiser Naka , which had been torpedoed by the submarine USS Seawolf off Christmas Island . Departing Singapore for Kure on 22 May , escorted by the subchaser CH @-@ 9 , Asahi was sighted by the submarine USS Salmon on the night of 25 / 26 May 1942 , 100 miles ( 160 km ) southeast of Cape   , Indochina . Of Salmon 's four torpedoes , two hit the ship in her port central boiler room and aft spaces . At 01 : 03 , moments after being hit , Asahi sank at 10 ° 00 ′ N 110 ° 00 ′ E. Sixteen men were killed in the attack ; the ship 's captain and 582 crewmen were rescued by CH @-@ 9 . 

Question: Where does this scene take place?

Respond only with the final answer, without explanation or full sentences.

Indochina"
519,"Answer the following question given the text:
Text:  Susan Hagan ( Ma Anand Su ) , a top official in the Rajneeshpuram hierarchy , was also a participant in the assassination conspiracy . Hagan was in charge of the security force at Rajneeshpuram , ran the Rajneesh Investment Corporation , and supervised construction on the commune . Other conspirators in the assassination plot included Ann Phyllis McCarthy ( Ma Yoga Vidya ) , president of the Rajneesh commune , and Alma Potter ( Ma Dhyan Yogini ) , Ma Anand Sheela 's bodyguard and traveling companion . Potter was manager of the Hotel Rajneesh in Portland , Oregon , and a member of the commune 's security force . The Oregonian reported that nine people were on the hit list , including : Turner , Frohnmayer , former assistant attorney general Karen H. Green , Wasco County planning director Daniel C.   , Wasco County commissioner James L.   , investigative journalist for The Oregonian Leslie L.   , former member Helen C. Byron ( Ma     ) , who had been awarded US $ 1 @.@ 7 million in a lawsuit against Rajneesh Foundation International , her daughter Barbara J. Byron (   ) , and Rajneesh 's former secretary Laxmi     ( Ma Yoga Laxmi ) . 

Question: What color is her racket?

Respond only with the final answer, without explanation or full sentences.

No racket"
520,1080p
521,No bus is seen in the photo.
522,"Answer the following question given the text:
Text:  A monument to those killed in the Rhodesian attack on   was built in Zambia in 1998 , and dedicated jointly by the Zambian and Zimbabwean governments . A memorial to the victims of the two Rhodesian Viscount incidents , dubbed the Viscount Memorial , was erected on the grounds of the Voortrekker Monument in Pretoria , South Africa in 2012 , and inaugurated on 1 September that year . The names of the dead passengers and crew are engraved on two granite slabs that stand upright , side by side , the pair topped by an emblem symbolising an aircraft . A pole beside the monument flies the Rhodesian flag . 

Question: Is it autumn?

Respond only with the final answer, without explanation or full sentences.

No"
523,"Answer the following question given the text:
Text:  Cooke led his small squadron past Corregidor on 15 January and turned south . Four days later in a storm one of the gunboats broke its tow line and was never seen again , lost with its twelve crew . The frigates subsequently scouted Mindanao before reaching Zamboanga on 22 January . There Cooke raised Spanish colours in an attempt to deceive the authorities into supplying food and water to his squadron but Sybille grounded on a sandbank at the entrance to the port which raised the suspicions of a   sent by the governor of Zamboanga ,   Español . The captain of the Spanish boat asked the British ships the names of their captains , and on receiving no answer but a volley of rifle fire , he put the town on alert . With the defenders forewarned , Cooke abandoned his ruse and after refloating Sybille the following morning , ordered a bombardment of the fort protecting the harbour . This had little effect , though later the Spanish recovered at least 450 cannonballs from different calibers , and Malcolm then attempted an amphibious landing in order to storm the landward side of the fort . The boats came under heavy fire , one smashed by a cannonball , killing two and wounding four . Another boat grounded on a sandbar and became stuck ; so with his force in disarray , as 250 villagers armed with lances ambushed and drove the British from the beach , Malcolm called off the operation . After exchanging shot for an hour both frigates cut their anchor cables and retreated out of range , with two dead and one wounded on Sybille and eight wounded on Fox , in addition to those lost in the boats . The defenders lost a single man killed and 4 wounded . 

Question: What is the last word on the truck?

Respond only with the final answer, without explanation or full sentences.

Malcolm"
524,No
525,"No man, no umbrella."
526,0
527,0
528,Est: Estonia
529,No
