,responses_tc,responses_tm,responses_ti,base_response,real_response
774,Los Angeles,New York City,The text does not provide information about a city or a cop car.,New York City.,new york
775,Taylor Ave,None,Tallgrass Prairie,Third Ave,none
776,0,Two.,The text does not provide information about animals in a picture.,Four.,2
777,Glass,Brick,The text does not provide information about what the building is made of.,Brick,brick
778,Three.,One.,The text does not provide information about the number of women in the room.,One.,1
779,Bedroom,Bathroom,The text does not specify a type of room.,Bathroom,bathroom
780,Blue and white checkered.,Red and white checkered.,The text does not provide information about the pattern of the tablecloth.,Checkered.,checkered
781,Yes.,No.,The text does not provide information about a picture or a chair.,No.,no
782,Birds,Fish,The text does not provide information about the family's pets.,Fish,fish
783,Cake,Pizza,Not applicable.,Pizza,pizza
784,No.,Yes.,No.,Yes.,yes
785,Yes.,No.,No.,No.,no
786,No.,Unknown,The text does not provide information to answer the question.,I don't know.,yes
787,The text suggests she moves around easily.,She is sitting in a chair holding a stuffed animal.,The text does not provide information about a woman or her mobility.,"She is holding a stuffed animal, which might suggest limited mobility.",wheelchair
788,Nothing unusual.,It is placed behind a chain-link fence.,The question seems to be unrelated to the provided text.,The stop sign is placed behind a fence.,behind fence
789,In a busy city street.,On a path next to some greenery and a corrugated metal wall.,The text does not provide information about where bikes are parked.,On a sidewalk.,street
790,Blue,Red,The text does not provide information about the color of the bag.,Red,red
791,Yes.,Unknown,The text does not provide information to answer the question.,Yes.,no
792,Blue pans.,Copper pans.,The text does not provide information about pans hanging on the wall.,Copper pans.,skillets
793,Bright blue.,Pink,The text does not provide information about the color of the umbrella.,Pink,pink
794,Yes.,No.,No.,No.,no
795,Yes.,No.,No.,No.,no
796,Yes.,No.,The text does not provide information to determine if it is safe to cross the road.,No.,yes
797,Blue burner.,None,The text does not provide information about a burner being visibly hot.,None.,none
798,At a colorful ball hanging from a tree.,Into a metal bucket.,The text does not provide information about a giraffe or its location.,Into a bucket.,down
799,No.,Yes.,The text does not provide information about the hair length of any people.,Yes.,yes
800,One meal.,The text does not specify a number of meals.,The text does not provide information about meals on the table.,Four.,1
801,Away from it.,Near the camera.,The text does not provide information about a train.,Near the camera.,away
802,Yes.,No.,No.,No.,no
803,No.,Yes.,Not applicable.,Yes.,yes
804,"Blueberries, strawberries, raspberries.","Roasted garlic, cherry tomatoes, cloves of garlic.",The text does not provide information about items in a pan.,Garlic and cherry tomatoes.,strawberries
805,Socially drinking.,Taste testing.,The text does not provide information about wine tasting or socially drinking.,Taste testing.,socially drinking
806,On a red wall.,On a white barrier.,The text does not provide information about the Thrasher logo.,On the white barrier.,on barrier
807,No.,Yes.,Yes.,No.,no
808,Blue,White,The text does not provide information about the color of the bed sheet.,White,white
809,A red surfboard.,A surfboard.,The text does not provide information about what is in the man's right hand.,A surfboard leash.,shoe
810,No.,Yes.,No.,Yes.,yes
811,Three.,One clock.,The text does not mention any clocks.,Two.,2
812,A red hat.,A blue turban.,The text does not provide information about what is on the man's head.,A turban.,hair
813,Blue and white.,Green and white.,The text does not provide information about the colors on the plane.,"Green, white, blue, gold.",green and white
814,Five,Three.,The text does not provide information about measuring cups.,Three,2
815,No.,Yes.,The text does not provide information about trees or their leaves.,Yes.,yes
816,Yes.,No.,No.,No.,no
817,Blue,Black,The text does not provide information about the color of the wall behind the bear.,Black,black
818,Red,Blue,The text does not provide information about the color of the curtains.,Beige,yellow
819,A large blue flag associated with environmental awareness.,Rainbow flag,The text does not provide information about a flag on a bus.,Pride flag,rainbow
820,No.,Yes.,The text does not provide information about people or their clothing.,Yes.,yes
821,GHTR,FMKQ,RAAF,FMKQ,fmk
822,New York street vendor,Portillo's,The United States,Portillo's,portillo's
823,Bicycle,Motorcycle,No vehicle mentioned.,Motorcycle,motorcycle
824,Unknown,Unknown,The text does not mention a bear.,I don't know.,male
825,Grass court.,Hard court,The text does not provide information about a tennis court surface.,Hard court.,artificial
826,Five.,Two.,The text does not provide information about a photo or the number of people in it.,Two.,2
827,Two.,Four.,Four.,Six.,6
828,The text does not specify the gender of the person playing frisbee.,The text does not specify the gender of the person.,No.,No.,yes
829,No.,Yes.,The text does not provide information about the weather.,Yes.,yes
830,Metallic material,Velvety material.,The text does not provide information about a red pillow.,Velvet,velvet
831,Green,Blue,The text does not provide information about the color of the big suitcase.,Black,black
832,Unknown,Yes.,The text does not provide information about a picture.,Yes.,yes
833,A wooden blind with horizontal slats.,Curtain with a floral pattern.,The text does not provide information about what is covering the window.,Curtains,curtain
834,Red tiles.,Blue tiles.,The text does not provide information about a design or what it is made out of.,Stone and metal.,brick
835,A blue painting.,Mirror,The text does not provide information about what is on the wall next to the toilet.,A damaged mirror.,bar
836,Yes.,No.,Not applicable.,No.,no
837,Away from the camera.,Forward,The text does not provide information about zebras.,Towards the camera.,forward
838,Green,Blue,The text does not provide information about the color of a traffic sign.,Red,red
839,Yes.,No.,Unknown,No.,no
840,Yes.,Yes.,No.,Yes.,yes
841,Red flag,A blue sign.,Battle honours,A loudspeaker.,wire
842,In a red container.,In a blue container.,The objects are presented in relation to their positions around the Great Plaza.,In a bento box.,neatly
843,Inside of a dollhouse.,To scale.,The text does not provide information to answer the question.,Inside of a dollhouse.,dollhouse
844,None,Prosciutto,The text does not provide information about pizza or any type of meat on it.,Prosciutto,bacon
845,Taller than the buildings.,Shorter than the buildings.,Unknown.,The bus is shorter than the buildings.,high
846,Yes.,No.,Unknown.,No.,no
847,Yes.,No.,The text does not provide information about a skateboarder.,Yes.,no
848,No.,"The text does not provide enough information to determine if the photo manipulation is ""nauseating"" or ""tacky.""",No.,Yes.,yes
849,No.,Yes.,The text does not provide information about sheep being shorn.,Yes.,yes
850,Palm tree.,The type of tree is not specified.,The text does not provide information about a tree or a man standing near a tree.,Maple tree.,oak
851,Yes.,Yes.,The text does not provide information about pillows.,No.,no
852,Yes.,No.,No.,No.,no
853,The text does not specify a direction.,The text does not specify a direction.,The text does not provide any direction for joggers or people on foot.,Left,left
854,No.,Yes.,The text does not provide information to answer the question.,Yes.,yes
855,A brightly lit park.,Skatepark.,A military battlefield.,Indoor skate park.,garage
856,Yes.,No.,The text does not provide information about a baby's hair.,No.,no
857,Paint horse,Pinto horse,The text does not provide information about a horse.,Appaloosa,appaloosa
858,A dense green forest with tall trees.,A clear blue sky with some structural elements.,The capture of a prisoner.,A structure with stairs.,stairs
859,Two.,One.,The text does not provide information about the number of kids.,One.,1
860,Wood,Metal,The text does not specify what the fence is made of.,Metal,metal
861,A red donut weight.,A blue donut weight.,The text does not provide information about a bat.,A doughnut (bat weight).,weight
862,The text does not mention a black car.,The text does not mention a black car.,The text does not provide information about a black car's license plate number.,5CCD082,5ccd082
863,The text does not specify any green things on the plate.,Broccoli,Gex,Broccoli,broccoli
864,No.,Yes.,The text does not provide information about the crowd or the place being crowded.,Yes.,yes
865,The person wearing a red shirt.,The person wearing a blue shirt.,The text does not provide information about anyone on a bike.,I don't know who is on the bike.,man
866,Yes.,No.,The text does not provide information to answer the question.,No.,no
867,Unknown,Unknown,The text does not provide information about a girl or whether she is a model.,I don't know.,no
868,Yes.,No.,No.,I don't know.,no
869,One.,Two.,0,Two.,2
870,No.,Yes.,No,Yes.,yes
871,Yes.,No.,Not applicable.,No.,no
872,Yes.,No.,No.,No.,no
873,Green barrels.,Blue barrels.,The text does not provide information about green or blue barrels.,Green,green
874,A white flag.,A white storage box.,The text does not provide information about a motorcyclist or a white thing behind them.,Yamaha pannier.,saddle bag
875,Yes.,No.,No.,No.,no
876,Snowboard,Snowboard,The text does not provide information about what object the girl will be riding.,Snowboard,snowboard
877,On the left side of the image.,On the left side of the image.,The text does not mention spray bottles.,On the left side of the image.,floor
878,Yes.,No.,The text does not provide information about a baby.,No.,no
879,No.,Yes.,The text does not provide information to determine the time of day.,Yes.,no
880,"Blueberries, strawberry",Green grapes and a strawberry.,The text does not provide information about a fruit touching a yellow bird.,Strawberry,grapes
881,Yes.,No.,No.,No.,no
882,Yes.,No.,The text does not provide information about a person running towards the camera.,No.,no
883,Bookstore,Phone store.,Grocery store.,Clothing store.,phone
884,Yes.,No.,Unknown,No.,no
885,A tennis racket.,A baseball bat.,The text does not provide information about a man swinging anything.,A baseball bat.,bat
886,No.,Yes.,No.,Yes.,yes
887,A red hair accessory.,A blue hair accessory.,The text does not provide this information.,A hair clip.,clip
888,Yes.,No.,The text does not provide information to answer the question.,Yes.,no
889,Yes.,No.,The text does not provide information about bus accessibility.,No.,no
890,No.,No.,No.,No.,no
891,No.,Yes.,The text does not provide information to answer this question.,Yes.,no
892,One,One.,The text does not provide information about the number of scarves.,Five.,6
893,No.,No.,Unknown,Yes.,yes
894,Italy,France,United Kingdom,France,france
895,Real.,Model,Real,Model.,model
896,Summer,Winter,The text does not provide information about the season.,Winter.,winter
897,Yes.,No.,The text does not provide information about a boy or his state of being asleep.,No.,no
898,No.,Yes.,Not mentioned.,Yes.,yes
899,The brown shadow is not mentioned in the text.,The brown shadow is not mentioned in the text.,The text does not provide information about a brown shadow under a horse's mouth.,A halter.,tongue
900,Joan's Kitchen,Mad Men,The text is not from a TV show.,Mad Men,joan's kitchen
901,No.,Yes.,The text does not provide information about a cat and dog interacting.,Yes.,no
902,A red armband.,Armband,The text does not provide information about a black thing on a man's bicep.,An armband.,shirt
903,No.,Yes.,The text does not provide this information.,Yes.,yes
904,No.,Yes.,No.,Yes.,yes
905,A blue book.,A black cat wrapped in a green towel.,The text does not provide information about what is in the woman's hands.,A phone and a cat wrapped in a towel.,cat
906,Dolphin,Owl,The text does not provide information about a vase or an animal depicted on it.,Owl,owl
907,Two players.,Four players.,The text does not provide information about the number of players in the picture.,Five.,4
908,No.,Yes.,No.,Yes.,yes
909,Helmet,A hat.,The text does not provide information about what is on the man's head.,A hat.,hat
910,Unknown,Yes.,Unknown,Yes.,yes
911,A person.,A person.,Jasaw Chan K'awiil I,I don't know.,surfer
912,Street names or directions.,Street names or directions.,The text does not provide information about what the signs say.,POST,post
913,"A stack of books, a lamp, and a plant.","A laptop, speakers, and a coffee machine.",The text does not provide information about what is on the desk.,"Laptop, speakers, coffee maker, chair.",laptop
914,Yes.,No.,Unknown,Yes.,yes
915,Red,Blue.,White,"Red, yellow, blue.",green
916,Perched.,Flying.,The text does not provide information about a bird or its actions.,Flying,flying
917,Yes.,No.,The text does not provide information about a dog wearing a hat.,No.,no
918,No.,Yes.,The text does not provide information about a young man wearing roller skates.,Yes.,no
919,The text does not provide information about white designs on the laptop or pink pot holder.,No.,The text does not provide information about white designs on a laptop or a pink pot holder.,Yes.,no
920,No.,Yes.,The text does not provide information to answer this question.,Yes.,yes
921,Yes.,No.,The text does not provide information about fruit on a plate.,No.,no
922,Reading a book.,Performing a jump on a jet ski.,Trey Burke was named a finalist for the Bob Cousy Award.,Jet skiing.,jet skiing
923,Yes.,No.,The question is unrelated to the text provided.,No.,yes
924,Yes.,No.,The text does not provide information about men or collars.,No.,no
925,Solar panels,Chimney,<unk>,Chimney,chimney
926,Reflection of the surrounding sandy desert landscape.,Reflection of the surrounding lush green trees and vegetation.,Not applicable.,Algae and vegetation.,algae
927,Apple,Orange,Gamelan,Orange,orange
928,Red wine.,Blue liquid.,The text does not provide information about what is in the dark bottles.,Wine,wine
929,Left.,Right,The text does not provide information about the direction a sign is pointing.,Right,right
930,Los Angeles,New York,The text does not provide information about a train or its destination.,New York,new york
931,No.,Yes.,No.,Yes.,yes
932,Yes.,No.,No.,No.,no
933,"Short, curly hair.",Dreadlocks,The text does not provide information about Walter Afanasieff's hairstyle.,Dreadlocks,dreadlocks
934,Yes.,Uncertain.,No.,No.,no
935,Three.,Two.,The text does not provide information about any picture or bears.,Two.,2
936,No.,Yes.,The text does not provide enough information to determine if the people are happy.,Yes.,yes
937,A red bicycle.,A blue bicycle.,The text does not provide information about a man in a red and white hat.,Bicycle,bicycle
938,On a table in the center of a room.,On the wall near a window.,The text does not provide information about the location of a vase.,On the wall.,on wall
939,A bustling city skyline.,Snow-capped mountains.,"Bond's captivity, torture, and suspicion of being set up by a double agent.",Snow-capped mountains.,mountains
940,Japan Airlines (JAL) aircraft,Japan Airlines (JAL) aircraft,The text does not provide information about a type of plane.,Boeing 777,passenger
941,Yes.,Yes.,The text does not provide enough information to answer this question.,Yes.,yes
942,Uncertain.,Uncertain,The text does not provide enough information to determine if he is going to fall.,Uncertain.,yes
943,Blue and white.,Black and white.,The text does not provide information about the color of the cat.,Black and white.,black and white
944,No.,Yes.,Not applicable.,Yes.,no
945,Green,Red,The text does not provide information about the color of the front of the train.,Red,red
946,No.,Yes.,Unknown,Yes.,yes
947,Nothing needs to be removed before eating.,The outer skin of the red onion.,This question does not relate to the provided text.,Broccoli stem.,skin
948,Nothing is described as green in the image.,Plants,The text does not provide information about an image or anything green.,Plants,plants
949,5678,1843,The text does not provide a number related to a train.,1843,1843
950,No.,Yes.,Not applicable.,Yes.,yes
951,No.,Yes.,The text does not provide information to answer this question.,Yes.,yes
952,The text does not provide enough information to determine the time.,The text does not provide the specific time shown on the clock.,The text does not provide information about the current time.,10:10,3:30
953,Yes.,No.,No.,Yes.,no
954,The person sitting on a bench in the background.,The person performing a skateboard trick on a ramp.,The text does not provide information about a person wearing a yellow shirt.,The person skateboarding.,boy
955,One,A group of elephants.,The text does not provide information about elephants.,Nine.,1
956,Blue sauce.,Caramel-colored sauce.,The text does not provide information about a sauce on a plate.,Caramel sauce.,caramel
957,Yes.,No.,Yes.,No.,no
958,Ceramic,Glass,William Button 1819 @-@ 37,Glass,glass
959,Yes.,No.,Unknown,Yes.,yes
960,Uncertain,Uncertain,No.,No.,no
961,Two.,Four.,Four.,Four,4
962,No.,Yes.,No.,Yes.,yes
963,Several,Zero.,The text does not provide information about watches.,One.,2
964,Blue tiles.,White plaster.,The text does not provide information about what the wall is made of.,Drywall,plaster
965,No.,No.,The text does not provide information about decapitation.,No.,no
966,A small book.,A pair of scissors.,The text does not provide information about what the man is holding.,A straight razor.,scissors
967,Blue and yellow.,"Red, white, and black.",The text does not provide information about the color of the sign.,"Red, white, and black.",white
968,Yes.,No.,The text does not provide information about a sandwich.,No.,no
969,No.,Yes.,No.,Yes.,yes
970,A red object.,A blue object.,The text does not specify any object being carried by a person.,Frisbee,frisbee
971,BLUE,CHESTER,The text does not provide information about what is written on the bench.,CHESTER,chester
972,Uncertain,No.,No.,No.,no
973,No.,No.,The text does not provide information about a young man flying.,No.,no
974,Basketball,Tennis,Unknown,Tennis,tennis
975,Yes.,No.,No.,No.,no
976,Car,Horse,The text does not provide information about an animal pulling a cart.,Horse,horse
977,Yes.,No.,No.,No.,no
978,California,Illinois,Colorado,California,illinois
979,Blue,White,The text does not provide information about the color of the plate.,White,white
980,No.,Yes.,Not applicable.,Yes.,yes
981,Spinach,Broccoli,da,Broccoli,broccoli
982,Red,Blue,The text does not provide information about the color of the sign.,White,white
983,Red bottles.,Blue bottles.,The text does not provide information about bottles lining a shelf.,Liquor bottles.,liquor
984,The text does not specify the color of the cat.,The text does not specify the color of the cat.,The text does not provide information about the color of the cat.,Tabby (brown and black).,brown
985,Yes.,No.,The text does not provide information about footprints in the sand.,Yes.,no
986,Several balloons.,Several balloons.,The text does not provide information about balloons.,Seven,7
987,A blue backpack.,Skateboard,The ball.,A skateboard.,skateboard
988,No.,Yes.,No.,Yes.,yes
989,The air conditioner is keeping the room warm.,Fire burning in the fireplace.,The text does not provide information on how the man is keeping the room warm.,Fireplace.,fire
990,Two.,One.,The text does not provide information about the number of TVs in the picture.,One.,1
991,Unknown,Yes.,Unknown,Yes.,yes
992,Unknown,Yes.,No.,Yes.,yes
993,Yes.,No.,The text does not provide information about a skateboarder or safety gear.,No.,no
994,A red object.,A blue object.,The text does not provide information about anything sticking up from a fire hydrant.,A red object.,nothing
995,Red,Blue,The text does not provide information about the color of the boy's jacket.,Green,green
